match_id,matchup_id,game_number,competitor,repetition,checkpoint_path,seat,points,pudding,opponent_competitor,opponent_repetition,opponent_points,opponent_pudding,opponent_competitors,opponent_repetitions,opponent_points_all,opponent_puddings,outcome
match_000001,matchup_0001,1,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,0,50,2,variable_encoder_2_4,1,50,3,variable_encoder_2_4|variable_2_4,1|1,50|46,3|5,loss
match_000001,matchup_0001,1,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,1,50,3,variable_2_4,2,50,2,variable_2_4|variable_2_4,2|1,50|46,2|5,win
match_000001,matchup_0001,1,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,2,46,5,variable_2_4,2,50,2,variable_2_4|variable_encoder_2_4,2|1,50|50,2|3,loss
match_000002,matchup_0001,2,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,0,46,3,variable_2_4,1,51,4,variable_2_4|variable_encoder_2_4,1|1,51|53,4|0,loss
match_000002,matchup_0001,2,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,51,4,variable_2_4,2,46,3,variable_2_4|variable_encoder_2_4,2|1,46|53,3|0,loss
match_000002,matchup_0001,2,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,2,53,0,variable_2_4,2,46,3,variable_2_4|variable_2_4,2|1,46|51,3|4,win
match_000003,matchup_0001,3,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,0,38,5,variable_encoder_2_4,1,49,1,variable_encoder_2_4|variable_2_4,1|1,49|39,1|3,loss
match_000003,matchup_0001,3,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,1,49,1,variable_2_4,2,38,5,variable_2_4|variable_2_4,2|1,38|39,5|3,win
match_000003,matchup_0001,3,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,2,39,3,variable_2_4,2,38,5,variable_2_4|variable_encoder_2_4,2|1,38|49,5|1,loss
match_000004,matchup_0001,4,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,46,3,variable_encoder_2_4,1,47,4,variable_encoder_2_4|variable_2_4,1|2,47|53,4|1,loss
match_000004,matchup_0001,4,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,1,47,4,variable_2_4,1,46,3,variable_2_4|variable_2_4,1|2,46|53,3|1,loss
match_000004,matchup_0001,4,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,2,53,1,variable_2_4,1,46,3,variable_2_4|variable_encoder_2_4,1|1,46|47,3|4,win
match_000005,matchup_0001,5,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,49,3,variable_encoder_2_4,1,50,0,variable_encoder_2_4|variable_2_4,1|2,50|55,0|4,loss
match_000005,matchup_0001,5,variable_encoder_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_encoder_2_4/repetition_1/model.pt,1,50,0,variable_2_4,1,49,3,variable_2_4|variable_2_4,1|2,49|55,3|4,loss
match_000005,matchup_0001,5,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,2,55,4,variable_2_4,1,49,3,variable_2_4|variable_encoder_2_4,1|1,49|50,3|0,win
match_000006,matchup_0001,6,variable_2_4,2,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_2/model.pt,0,47,3,variable_2_4,1,48,1,variable_2_4|variable_encoder_2_4,1|1,48|51,1|3,loss
